gene_id	gene_name	gene_type	strand	mappability	contig	TSS
ENSG00000242142.1	SERBP1P3	processed_pseudogene	-	0.88571	chr3	53065091
ENSG00000163933.9	RFT1	protein_coding	-	0.93461	chr3	53130462
ENSG00000163932.13	PRKCD	protein_coding	+	0.99873	chr3	53156009
ENSG00000163931.15	TKT	protein_coding	-	0.99038	chr3	53256031
ENSG00000157388.15	CACNA1D	protein_coding	+	0.98787	chr3	53328963
ENSG00000272886.5	DCP1A	protein_coding	-	0.96082	chr3	53347610
ENSG00000271916.1	RP11-884K10.6	antisense	-	1.0	chr3	53798019
ENSG00000016391.10	CHDH	protein_coding	-	0.9605	chr3	53846390
ENSG00000056736.9	IL17RB	protein_coding	+	1.0	chr3	53846580
ENSG00000271976.1	RP11-884K10.7	antisense	-	1.0	chr3	53861576
ENSG00000113812.13	ACTR8	protein_coding	-	0.99965	chr3	53882202
ENSG00000113811.10	SELENOK	protein_coding	-	0.93039	chr3	53891988
ENSG00000157445.14	CACNA2D3	protein_coding	+	0.99981	chr3	54122547
ENSG00000243715.1	CACNA2D3-AS1	antisense	-	1.0	chr3	54901255
ENSG00000244586.1	WNT5A-AS1	antisense	+	1.0	chr3	55487699
ENSG00000114251.14	WNT5A	protein_coding	-	0.99915	chr3	55490539
ENSG00000187672.12	ERC2	protein_coding	-	0.99991	chr3	56468363
ENSG00000180376.16	CCDC66	protein_coding	+	0.9458	chr3	56557161
ENSG00000163946.13	FAM208A	protein_coding	-	0.97565	chr3	56683237
ENSG00000186451.1	SPATA12	protein_coding	+	1.0	chr3	57060441
ENSG00000163947.11	ARHGEF3	protein_coding	-	1.0	chr3	57078815
ENSG00000272202.1	RP11-157F20.3	antisense	+	1.0	chr3	57078943
ENSG00000144730.17	IL17RD	protein_coding	-	0.94661	chr3	57170306
ENSG00000163666.8	HESX1	protein_coding	-	1.0	chr3	57226521
ENSG00000157500.10	APPL1	protein_coding	+	0.95412	chr3	57227737
ENSG00000239388.8	ASB14	protein_coding	-	1.0	chr3	57292682
ENSG00000174844.14	DNAH12	protein_coding	-	0.9999	chr3	57544344
ENSG00000174840.8	PDE12	protein_coding	+	0.90173	chr3	57556276
ENSG00000168374.10	ARF4	protein_coding	-	0.92267	chr3	57598220
ENSG00000272146.5	ARF4-AS1	antisense	+	1.0	chr3	57600059
ENSG00000174839.12	DENND6A	protein_coding	-	0.90516	chr3	57693089
ENSG00000163681.14	SLMAP	protein_coding	+	0.96356	chr3	57755450
ENSG00000136068.14	FLNB	protein_coding	+	0.98554	chr3	58008400
ENSG00000244161.1	FLNB-AS1	antisense	-	0.98455	chr3	58170574
ENSG00000283511.1	RP11-456N14.6	transcribed_unitary_pseudogene	+	1.0	chr3	58180009
ENSG00000163687.13	DNASE1L3	protein_coding	-	0.96532	chr3	58214697
ENSG00000163686.14	ABHD6	protein_coding	+	0.99851	chr3	58237506
ENSG00000163684.11	RPP14	protein_coding	+	0.88359	chr3	58306247
ENSG00000168297.15	PXK	protein_coding	+	1.0	chr3	58332880
ENSG00000272182.1	RP11-802O23.3	antisense	+	1.0	chr3	58428255
ENSG00000168291.12	PDHB	protein_coding	-	0.9704	chr3	58433857
ENSG00000272360.1	RP11-359I18.5	lincRNA	-	1.0	chr3	58491291
ENSG00000168301.12	KCTD6	protein_coding	+	0.92294	chr3	58492114
ENSG00000168306.12	ACOX2	protein_coding	-	0.99741	chr3	58537319
ENSG00000243384.1	RP11-475O23.2	antisense	+	1.0	chr3	58572744
ENSG00000244383.1	FAM3D-AS1	antisense	+	0.96208	chr3	58607080
ENSG00000168309.16	FAM107A	protein_coding	-	0.99916	chr3	58627610
ENSG00000198643.6	FAM3D	protein_coding	-	1.0	chr3	58666848
ENSG00000163689.19	C3orf67	protein_coding	-	0.96593	chr3	59050084
ENSG00000189283.9	FHIT	protein_coding	-	0.98453	chr3	61251459
ENSG00000144724.19	PTPRG	protein_coding	+	0.99995	chr3	61561569
ENSG00000114405.10	C3orf14	protein_coding	+	1.0	chr3	62318973
ENSG00000241472.6	PTPRG-AS1	processed_transcript	-	0.95197	chr3	62369330
ENSG00000163618.17	CADPS	protein_coding	-	0.99519	chr3	62875389
ENSG00000163630.10	SYNPR	protein_coding	+	1.0	chr3	63228315
ENSG00000163632.12	C3orf49	protein_coding	+	0.95794	chr3	63819362
ENSG00000224479.6	AC136289.1	transcribed_unitary_pseudogene	-	0.97769	chr3	63827445
ENSG00000163634.11	THOC7	protein_coding	-	0.99974	chr3	63863903
ENSG00000163635.17	ATXN7	protein_coding	+	0.99907	chr3	63864557
ENSG00000280620.1	SCAANT1	antisense	-	1.0	chr3	63911772
ENSG00000239653.1	PSMD6-AS2	antisense	+	1.0	chr3	64004022
ENSG00000271843.1	RP11-245J9.5	lincRNA	-	1.0	chr3	64008692
ENSG00000272181.1	RP11-245J9.6	antisense	+	1.0	chr3	64019508
ENSG00000163636.10	PSMD6	protein_coding	-	0.98927	chr3	64024010
ENSG00000241111.1	PRICKLE2-AS1	antisense	+	1.0	chr3	64067964
ENSG00000189196.4	LINC00994	lincRNA	-	1.0	chr3	64087363
ENSG00000239926.1	PRDX3P4	processed_pseudogene	+	1.0	chr3	64174401
ENSG00000226017.2	PRICKLE2-AS3	antisense	+	0.93307	chr3	64187544
ENSG00000163637.12	PRICKLE2	protein_coding	-	0.98258	chr3	64445476
ENSG00000241158.5	ADAMTS9-AS1	antisense	+	1.0	chr3	64561322
ENSG00000241684.5	ADAMTS9-AS2	antisense	+	0.99986	chr3	64684909
ENSG00000163638.13	ADAMTS9	protein_coding	-	0.99433	chr3	64688000
ENSG00000270059.1	RP11-88H12.2	sense_intronic	-	1.0	chr3	65359717
ENSG00000244226.1	ILF2P1	processed_pseudogene	+	1.0	chr3	65687301
ENSG00000272610.1	MAGI1-IT1	sense_intronic	-	0.99808	chr3	65954558
ENSG00000151276.23	MAGI1	protein_coding	-	0.99925	chr3	66038550
ENSG00000144741.17	SLC25A26	protein_coding	+	0.95475	chr3	66133610
ENSG00000144749.13	LRIG1	protein_coding	-	1.0	chr3	66501263
ENSG00000163376.11	KBTBD8	protein_coding	+	1.0	chr3	66998307
ENSG00000172340.14	SUCLG2	protein_coding	-	0.87319	chr3	67654614
ENSG00000241316.6	SUCLG2-AS1	lincRNA	+	0.98783	chr3	67654697
ENSG00000183662.10	FAM19A1	protein_coding	+	1.0	chr3	68004216
ENSG00000163378.13	EOGT	protein_coding	-	0.9587	chr3	69013940
ENSG00000244513.6	CTD-2013N24.2	antisense	+	0.99952	chr3	69013962
ENSG00000144747.15	TMF1	protein_coding	-	0.97017	chr3	69052303
ENSG00000144744.16	UBA3	protein_coding	-	1.0	chr3	69080408
ENSG00000144746.6	ARL6IP5	protein_coding	+	0.93037	chr3	69084944
ENSG00000163380.15	LMOD3	protein_coding	-	0.92944	chr3	69123032
ENSG00000239263.1	RBM43P1	processed_pseudogene	-	1.0	chr3	69472532
ENSG00000240265.1	RP11-62G11.1	processed_pseudogene	-	0.98797	chr3	69536693
ENSG00000114541.14	FRMD4B	protein_coding	-	0.96092	chr3	69542583
ENSG00000187098.14	MITF	protein_coding	+	0.99946	chr3	69739435
ENSG00000242094.1	FOXP1-IT1	sense_intronic	-	1.0	chr3	71574457
ENSG00000114861.18	FOXP1	protein_coding	-	0.94098	chr3	71583989
ENSG00000270562.1	RP11-154H23.3	lincRNA	+	1.0	chr3	71584943
ENSG00000277855.1	RP11-154H23.4	antisense	+	1.0	chr3	71627641
ENSG00000163412.12	EIF4E3	protein_coding	-	0.9999	chr3	71753624
ENSG00000170837.2	GPR27	protein_coding	+	1.0	chr3	71754050
ENSG00000163421.8	PROK2	protein_coding	-	1.0	chr3	71785206
ENSG00000241163.7	LINC00877	lincRNA	-	1.0	chr3	72279503
ENSG00000163602.10	RYBP	protein_coding	-	0.99956	chr3	72446621
ENSG00000144736.13	SHQ1	protein_coding	-	0.92377	chr3	72861914
ENSG00000172986.12	GXYLT2	protein_coding	+	0.94276	chr3	72888073
ENSG00000163605.14	PPP4R2	protein_coding	+	0.8093	chr3	72996785
ENSG00000255423.1	EBLN2	protein_coding	+	0.98487	chr3	73061659
ENSG00000121440.14	PDZRN3	protein_coding	-	0.99961	chr3	73624409
ENSG00000278934.1	CTD-2006M22.2	TEC	+	1.0	chr3	73624941
ENSG00000113805.8	CNTN3	protein_coding	-	1.0	chr3	74521140
ENSG00000185008.17	ROBO2	protein_coding	+	0.99414	chr3	75906695
ENSG00000240809.1	RP11-550F7.1	processed_pseudogene	+	0.84181	chr3	76434018
ENSG00000169855.19	ROBO1	protein_coding	-	0.99678	chr3	79767815
ENSG00000241593.5	RP11-520D19.2	lincRNA	-	0.99307	chr3	81297345
ENSG00000114480.12	GBE1	protein_coding	-	0.9954	chr3	81762161
ENSG00000175161.13	CADM2	protein_coding	+	0.99989	chr3	84958981
ENSG00000206538.8	VGLL3	protein_coding	-	0.95573	chr3	86991119
ENSG00000083937.8	CHMP2B	protein_coding	+	0.99595	chr3	87227271
ENSG00000064835.10	POU1F1	protein_coding	-	1.0	chr3	87276587
ENSG00000179097.5	HTR1F	protein_coding	+	1.0	chr3	87990696
ENSG00000175105.6	ZNF654	protein_coding	+	0.97154	chr3	88059274
ENSG00000163320.10	CGGBP1	protein_coding	-	0.99983	chr3	88149742
ENSG00000179021.9	C3orf38	protein_coding	+	0.99704	chr3	88149886
ENSG00000044524.10	EPHA3	protein_coding	+	0.99027	chr3	89107524
ENSG00000169379.15	ARL13B	protein_coding	+	1.0	chr3	93980139
ENSG00000178750.2	STX19	protein_coding	-	1.0	chr3	94028610
ENSG00000178700.7	DHFR2	protein_coding	-	0.8609	chr3	94063389
ENSG00000178694.9	NSUN3	protein_coding	+	0.96847	chr3	94063812
ENSG00000243547.1	HNRNPKP4	processed_pseudogene	+	0.84921	chr3	96349554
ENSG00000080224.17	EPHA6	protein_coding	+	0.99925	chr3	96814581
ENSG00000261292.2	RP11-389G6.3	lincRNA	+	1.0	chr3	97759523
ENSG00000113966.9	ARL6	protein_coding	+	0.99364	chr3	97764521
ENSG00000080200.9	CRYBG3	protein_coding	+	0.99769	chr3	97822040
ENSG00000170854.17	RIOX2	protein_coding	-	0.99725	chr3	97972457
ENSG00000080822.16	CLDND1	protein_coding	-	0.97863	chr3	98523066
ENSG00000154165.4	GPR15	protein_coding	+	1.0	chr3	98531899
ENSG00000080819.6	CPOX	protein_coding	-	1.0	chr3	98593723
ENSG00000064225.12	ST3GAL6	protein_coding	+	0.97347	chr3	98732236
ENSG00000239445.5	ST3GAL6-AS1	antisense	-	1.0	chr3	98732651
ENSG00000249274.1	PDLIM1P4	processed_pseudogene	+	1.0	chr3	98782188
ENSG00000057019.15	DCBLD2	protein_coding	-	0.98566	chr3	98901689
ENSG00000243089.1	RP11-779P15.2	lincRNA	-	1.0	chr3	99527113
ENSG00000244464.1	RP11-201E8.1	lincRNA	+	1.0	chr3	99598064
ENSG00000144810.15	COL8A1	protein_coding	+	0.94718	chr3	99638475
ENSG00000273374.1	RP11-383I23.2	lincRNA	-	0.98987	chr3	99806058
ENSG00000184220.11	CMSS1	protein_coding	+	0.86825	chr3	99817834
ENSG00000168386.18	FILIP1L	protein_coding	-	0.9746	chr3	100114513
ENSG00000036054.12	TBC1D23	protein_coding	+	1.0	chr3	100261000
ENSG00000114021.11	NIT2	protein_coding	+	0.95467	chr3	100334701
ENSG00000154174.7	TOMM70	protein_coding	-	0.99649	chr3	100401192
ENSG00000206535.7	LNP1	protein_coding	+	1.0	chr3	100401399
ENSG00000114354.13	TFG	protein_coding	+	0.98543	chr3	100709331
ENSG00000154175.16	ABI3BP	protein_coding	-	0.9943	chr3	100993515
ENSG00000081148.11	IMPG2	protein_coding	-	0.97481	chr3	101320560
ENSG00000241738.1	ZNF90P1	processed_pseudogene	+	0.92675	chr3	101357292
ENSG00000282978.1	RP11-144C15.2	processed_pseudogene	-	0.81872	chr3	101457732
ENSG00000138468.15	SENP7	protein_coding	-	0.95586	chr3	101513241
ENSG00000174173.6	TRMT10C	protein_coding	+	1.0	chr3	101561862
ENSG00000066422.4	ZBTB11	protein_coding	-	0.98187	chr3	101672213
ENSG00000256628.3	ZBTB11-AS1	antisense	+	0.91001	chr3	101676475
ENSG00000114391.12	RPL24	protein_coding	-	0.85833	chr3	101686782
ENSG00000182504.10	CEP97	protein_coding	+	0.95083	chr3	101723925
ENSG00000144815.15	NXPE3	protein_coding	+	0.92714	chr3	101779202
ENSG00000144802.11	NFKBIZ	protein_coding	+	0.98616	chr3	101827991
ENSG00000170017.12	ALCAM	protein_coding	+	1.0	chr3	105366909
ENSG00000114423.18	CBLB	protein_coding	-	1.0	chr3	105869552
ENSG00000242759.6	LINC00882	lincRNA	-	0.95598	chr3	107240641
ENSG00000243701.5	DUBR	lincRNA	+	0.99546	chr3	107240692
ENSG00000241218.1	RP11-446H18.1	processed_pseudogene	-	0.97682	chr3	107329197
ENSG00000272597.1	RP11-446H18.6	lincRNA	+	1.0	chr3	107329430
ENSG00000138483.2	CCDC54	protein_coding	+	1.0	chr3	107377194
ENSG00000239828.6	RP11-446H18.5	lincRNA	-	1.0	chr3	107421304
ENSG00000273125.1	LINC01990	lincRNA	+	0.99278	chr3	107430930
ENSG00000114439.18	BBX	protein_coding	+	0.99943	chr3	107522936
ENSG00000240423.1	LINC00636	lincRNA	+	1.0	chr3	107883248
ENSG00000279277.1	RP11-861A13.3	TEC	-	1.0	chr3	108038445
ENSG00000196776.14	CD47	protein_coding	-	0.99696	chr3	108091025
ENSG00000271856.1	LINC01215	lincRNA	+	0.99596	chr3	108125821
ENSG00000114446.4	IFT57	protein_coding	-	1.0	chr3	108222570
ENSG00000144821.9	MYH15	protein_coding	-	0.99981	chr3	108529322
ENSG00000241634.1	RP11-381E24.1	processed_pseudogene	-	1.0	chr3	108543875
ENSG00000163507.13	KIAA1524	protein_coding	-	1.0	chr3	108589644
ENSG00000198919.12	DZIP3	protein_coding	+	0.96311	chr3	108589682
ENSG00000163519.13	TRAT1	protein_coding	+	1.0	chr3	108822698
ENSG00000121570.12	DPPA4	protein_coding	-	0.88875	chr3	109337572
ENSG00000206532.2	RP11-553A10.1	lincRNA	-	0.96805	chr3	110893476
ENSG00000177707.10	NECTIN3	protein_coding	+	0.99989	chr3	111070071
ENSG00000242242.5	PVRL3-AS1	antisense	-	1.0	chr3	111071553
ENSG00000153283.12	CD96	protein_coding	+	0.93979	chr3	111292719
ENSG00000177494.5	ZBED2	protein_coding	-	1.0	chr3	111595443
ENSG00000244720.1	RP11-402J7.2	processed_pseudogene	+	1.0	chr3	111633672
ENSG00000240891.7	PLCXD2	protein_coding	+	0.99905	chr3	111674676
ENSG00000144824.20	PHLDB2	protein_coding	+	0.98394	chr3	111859180
ENSG00000144827.8	ABHD10	protein_coding	+	0.99494	chr3	111979010
ENSG00000144834.13	TAGLN3	protein_coding	+	0.99982	chr3	111998664
ENSG00000176040.13	TMPRSS7	protein_coding	+	0.96567	chr3	112034843
ENSG00000114529.12	C3orf52	protein_coding	+	0.99767	chr3	112086335
ENSG00000174500.12	GCSAM	protein_coding	-	0.99971	chr3	112133305
ENSG00000261488.1	RP11-757F18.5	antisense	+	1.0	chr3	112133423
ENSG00000172139.14	SLC9C1	protein_coding	-	0.9998	chr3	112294258
ENSG00000091972.18	CD200	protein_coding	+	0.92046	chr3	112332841
ENSG00000186265.9	BTLA	protein_coding	-	0.99635	chr3	112499561
ENSG00000144848.10	ATG3	protein_coding	-	0.99792	chr3	112562009
ENSG00000138459.8	SLC35A5	protein_coding	+	0.94621	chr3	112562047
ENSG00000091986.15	CCDC80	protein_coding	-	0.96268	chr3	112649530
ENSG00000163606.10	CD200R1	protein_coding	-	0.97175	chr3	112975122
ENSG00000272844.1	RP11-484K9.4	antisense	-	1.0	chr3	112990917
ENSG00000163607.15	GTPBP8	protein_coding	+	0.94296	chr3	112991154
ENSG00000240057.5	RP11-572M11.4	antisense	+	0.9364	chr3	113019532
ENSG00000163608.14	NEPRO	protein_coding	-	0.98179	chr3	113019861
ENSG00000243795.1	LINC02044	lincRNA	-	0.98426	chr3	113167819
ENSG00000144857.14	BOC	protein_coding	+	0.99988	chr3	113211003
ENSG00000240751.1	RP11-553D4.2	processed_pseudogene	+	1.0	chr3	113360267
ENSG00000206530.10	CFAP44	protein_coding	-	0.9996	chr3	113441610
ENSG00000163611.11	SPICE1	protein_coding	-	0.97755	chr3	113515187
ENSG00000072858.10	SIDT1	protein_coding	+	0.97482	chr3	113532296
ENSG00000176542.9	USF3	protein_coding	-	0.95905	chr3	113696646
ENSG00000239280.1	RP11-271C24.3	processed_pseudogene	-	0.95251	chr3	113741254
ENSG00000121579.12	NAA50	protein_coding	-	0.91806	chr3	113746300
ENSG00000114573.9	ATP6V1A	protein_coding	+	0.94552	chr3	113778741
ENSG00000178075.19	GRAMD1C	protein_coding	+	0.98678	chr3	113828182
ENSG00000241889.1	RP11-435F17.3	processed_pseudogene	+	0.90025	chr3	113885298
ENSG00000273394.1	RP11-255E6.6	antisense	-	1.0	chr3	113947570
ENSG00000184307.14	ZDHHC23	protein_coding	+	0.99983	chr3	113947901
ENSG00000270880.1	RP11-255E6.5	processed_pseudogene	+	1.0	chr3	113984037
ENSG00000151576.10	QTRT2	protein_coding	+	0.92853	chr3	114005963
ENSG00000163617.10	CCDC191	protein_coding	-	0.99447	chr3	114056613
ENSG00000241490.1	RP11-553L6.2	antisense	+	0.96076	chr3	114214313
ENSG00000174255.6	ZNF80	protein_coding	-	0.89032	chr3	114237578
ENSG00000181847.11	TIGIT	protein_coding	+	0.99446	chr3	114276913
ENSG00000241560.5	ZBTB20-AS1	antisense	+	1.0	chr3	114351879
ENSG00000242767.1	ZBTB20-AS4	lincRNA	+	0.89937	chr3	115100423
ENSG00000181722.16	ZBTB20	protein_coding	-	0.99803	chr3	115147271
ENSG00000172020.12	GAP43	protein_coding	+	0.99967	chr3	115623324
ENSG00000185565.11	LSAMP	protein_coding	-	0.98908	chr3	117139389
ENSG00000239268.2	RP11-384F7.2	lincRNA	-	1.0	chr3	117997592
ENSG00000144847.12	IGSF11	protein_coding	-	0.98658	chr3	119146068
ENSG00000121578.12	B4GALT4	protein_coding	-	0.95653	chr3	119241103
ENSG00000031081.10	ARHGAP31	protein_coding	+	0.99314	chr3	119294373
ENSG00000242829.1	RPS26P21	processed_pseudogene	+	1.0	chr3	119298665
ENSG00000241155.1	ARHGAP31-AS1	antisense	-	1.0	chr3	119322760
ENSG00000176142.12	TMEM39A	protein_coding	-	0.99983	chr3	119468830
ENSG00000163389.10	POGLUT1	protein_coding	+	0.99945	chr3	119468938
ENSG00000272662.1	RP11-190C22.8	lincRNA	-	0.99264	chr3	119498181
ENSG00000113845.9	TIMMDC1	protein_coding	+	1.0	chr3	119498532
ENSG00000121594.11	CD80	protein_coding	-	1.0	chr3	119559602
ENSG00000144843.11	ADPRH	protein_coding	+	0.99975	chr3	119579651
ENSG00000144837.8	PLA1A	protein_coding	+	1.0	chr3	119597842
ENSG00000242052.1	RPL10P7	processed_pseudogene	-	0.96128	chr3	119636150
ENSG00000121577.13	POPDC2	protein_coding	-	0.99739	chr3	119665324
ENSG00000138495.6	COX17	protein_coding	-	0.91699	chr3	119677454
ENSG00000183833.16	MAATS1	protein_coding	+	0.99909	chr3	119703022
ENSG00000144852.17	NR1I2	protein_coding	+	1.0	chr3	119780484
ENSG00000082701.14	GSK3B	protein_coding	-	0.99406	chr3	120094417
ENSG00000242622.1	RP11-18H7.1	lincRNA	+	0.9874	chr3	120094895
ENSG00000175697.10	GPR156	protein_coding	-	0.99968	chr3	120285094
ENSG00000163428.3	LRRC58	protein_coding	-	0.9203	chr3	120349339
ENSG00000240661.3	RP11-174O3.3	transcribed_unitary_pseudogene	+	1.0	chr3	120349449
ENSG00000163430.11	FSTL1	protein_coding	-	0.99834	chr3	120451253
ENSG00000065518.7	NDUFB4	protein_coding	+	0.95351	chr3	120596309
ENSG00000113924.11	HGD	protein_coding	-	1.0	chr3	120682571
ENSG00000144840.8	RABL3	protein_coding	-	0.9477	chr3	120742993
ENSG00000153767.9	GTF2E1	protein_coding	+	0.91591	chr3	120749745
ENSG00000145087.12	STXBP5L	protein_coding	+	0.99962	chr3	120908072
ENSG00000051341.13	POLQ	protein_coding	-	0.99003	chr3	121546641
ENSG00000180353.10	HCLS1	protein_coding	-	1.0	chr3	121660927
ENSG00000173230.15	GOLGB1	protein_coding	-	0.99617	chr3	121749767
ENSG00000173226.16	IQCB1	protein_coding	-	0.92855	chr3	121835079
ENSG00000145088.8	EAF2	protein_coding	+	1.0	chr3	121835183
ENSG00000163406.10	SLC15A2	protein_coding	+	0.94929	chr3	121894089
ENSG00000145103.12	ILDR1	protein_coding	-	0.96646	chr3	122022204
ENSG00000114013.15	CD86	protein_coding	+	1.0	chr3	122055366
ENSG00000036828.15	CASR	protein_coding	+	0.89764	chr3	122183683
ENSG00000121552.3	CSTA	protein_coding	+	1.0	chr3	122325244
ENSG00000160124.9	CCDC58	protein_coding	-	0.85044	chr3	122383231
ENSG00000114023.15	FAM162A	protein_coding	+	0.95855	chr3	122384176
ENSG00000196981.3	WDR5B	protein_coding	-	0.94688	chr3	122416051
ENSG00000272758.5	RP11-299J3.8	antisense	+	0.98421	chr3	122416207
ENSG00000114030.12	KPNA1	protein_coding	-	0.99445	chr3	122514945
ENSG00000138496.16	PARP9	protein_coding	-	0.98572	chr3	122564237
ENSG00000163840.9	DTX3L	protein_coding	+	0.8917	chr3	122564316
ENSG00000173193.13	PARP14	protein_coding	+	0.96049	chr3	122680618
ENSG00000169087.10	HSPBAP1	protein_coding	-	0.99879	chr3	122793824
ENSG00000138463.8	DIRC2	protein_coding	+	0.99952	chr3	122794795
ENSG00000273033.2	LINC02035	lincRNA	+	0.9891	chr3	122886941
ENSG00000082684.14	SEMA5B	protein_coding	-	0.99944	chr3	123028605
ENSG00000065485.19	PDIA5	protein_coding	+	0.97698	chr3	123067062
ENSG00000121542.11	SEC22A	protein_coding	+	0.92392	chr3	123201927
ENSG00000273454.1	RP11-797D24.3	lincRNA	+	1.0	chr3	123277353
ENSG00000173175.14	ADCY5	protein_coding	-	0.99992	chr3	123449758
ENSG00000206527.9	HACD2	protein_coding	-	0.93385	chr3	123585185
ENSG00000239523.5	MYLK-AS1	antisense	+	1.0	chr3	123585542
ENSG00000065534.18	MYLK	protein_coding	-	0.96311	chr3	123884331
ENSG00000175455.14	CCDC14	protein_coding	-	0.98085	chr3	123961408
ENSG00000160145.15	KALRN	protein_coding	+	0.99057	chr3	124080023
ENSG00000114491.13	UMPS	protein_coding	+	0.97017	chr3	124730366
ENSG00000280042.1	RP11-71H17.8	TEC	-	1.0	chr3	124793104
ENSG00000082781.11	ITGB5	protein_coding	-	0.98811	chr3	124901418
ENSG00000173702.7	MUC13	protein_coding	-	1.0	chr3	124953819
ENSG00000173706.12	HEG1	protein_coding	-	1.0	chr3	125055958
ENSG00000221955.10	SLC12A8	protein_coding	-	0.91458	chr3	125212864
ENSG00000163848.19	ZNF148	protein_coding	-	0.99626	chr3	125375354
ENSG00000114520.10	SNX4	protein_coding	-	0.99912	chr3	125520197
ENSG00000144909.7	OSBPL11	protein_coding	-	1.0	chr3	125595090
ENSG00000250012.1	RP11-124N2.1	antisense	+	0.91242	chr3	126084305
ENSG00000114544.16	SLC41A3	protein_coding	-	0.98667	chr3	126101561
ENSG00000246022.2	ALDH1L1-AS2	antisense	+	1.0	chr3	126180065
ENSG00000144908.13	ALDH1L1	protein_coding	-	0.98396	chr3	126197994
ENSG00000250934.1	RP11-71E19.1	lincRNA	+	1.0	chr3	126266796
ENSG00000163884.3	KLF15	protein_coding	-	0.99582	chr3	126357442
ENSG00000163885.11	CFAP100	protein_coding	+	1.0	chr3	126394939
ENSG00000279328.1	RP11-203H19.2	TEC	-	1.0	chr3	126434569
ENSG00000070476.14	ZXDC	protein_coding	-	0.99757	chr3	126475919
ENSG00000180767.9	CHST13	protein_coding	+	1.0	chr3	126524283
ENSG00000248557.1	RP11-390G14.1	processed_pseudogene	+	1.0	chr3	126624792
ENSG00000197763.14	TXNRD3	protein_coding	-	0.99922	chr3	126655155
ENSG00000159685.10	CHCHD6	protein_coding	+	0.95828	chr3	126704220
ENSG00000280053.1	RP11-61K12.2	TEC	+	1.0	chr3	126973065
ENSG00000114554.11	PLXNA1	protein_coding	+	0.99993	chr3	126988594
ENSG00000282860.1	RP11-153F10.2	lincRNA	-	1.0	chr3	127571838
ENSG00000163870.14	TPRA1	protein_coding	-	0.98144	chr3	127598222
ENSG00000073111.13	MCM2	protein_coding	+	0.99986	chr3	127598252
ENSG00000114631.10	PODXL2	protein_coding	+	1.0	chr3	127629181
ENSG00000114626.17	ABTB1	protein_coding	+	1.0	chr3	127672935
ENSG00000074416.13	MGLL	protein_coding	-	0.98693	chr3	127823250
ENSG00000187715.13	KBTBD12	protein_coding	+	0.95361	chr3	127915232
ENSG00000058262.9	SEC61A1	protein_coding	+	0.99893	chr3	128051641
ENSG00000175792.11	RUVBL1	protein_coding	-	0.99056	chr3	128153914
ENSG00000132394.10	EEFSEC	protein_coding	+	1.0	chr3	128246836
ENSG00000244300.2	GATA2-AS1	antisense	+	1.0	chr3	128489212
ENSG00000179348.11	GATA2	protein_coding	-	1.0	chr3	128493185
ENSG00000239405.1	TMED10P2	processed_pseudogene	+	1.0	chr3	128538020
ENSG00000242551.2	POU5F1P6	unprocessed_pseudogene	-	1.0	chr3	128677005
ENSG00000163902.11	RPN1	protein_coding	-	0.98781	chr3	128681075
ENSG00000075785.12	RAB7A	protein_coding	+	0.99639	chr3	128726122
ENSG00000239503.1	MARK2P8	processed_pseudogene	-	1.0	chr3	128749489
ENSG00000239483.1	RPS15AP16	processed_pseudogene	-	1.0	chr3	128799201
ENSG00000261159.1	RP11-723O4.9	lincRNA	-	0.94166	chr3	128860526
ENSG00000231305.3	RP11-723O4.2	antisense	-	0.85183	chr3	128871540
ENSG00000177646.18	ACAD9	protein_coding	+	1.0	chr3	128879596
ENSG00000279507.1	RP11-723O4.7	TEC	-	1.0	chr3	128915060
ENSG00000187695.8	RP11-723O4.6	protein_coding	-	0.99112	chr3	128969404
ENSG00000114654.7	EFCC1	protein_coding	+	1.0	chr3	129001629
ENSG00000114656.10	KIAA1257	protein_coding	-	0.87839	chr3	129002690
ENSG00000169704.4	GP9	protein_coding	+	1.0	chr3	129060767
ENSG00000273174.1	RP11-434H6.6	antisense	+	1.0	chr3	129123439
ENSG00000240682.9	ISY1	protein_coding	-	0.91532	chr3	129161293
ENSG00000273437.1	RP11-434H6.7	lincRNA	-	1.0	chr3	129163940
ENSG00000169714.16	CNBP	protein_coding	-	0.99035	chr3	129183922
ENSG00000181789.14	COPG1	protein_coding	+	1.0	chr3	129249606
ENSG00000183624.13	HMCES	protein_coding	+	1.0	chr3	129278828
ENSG00000184897.5	H1FX	protein_coding	-	1.0	chr3	129316277
ENSG00000206417.8	H1FX-AS1	antisense	+	0.89524	chr3	129317154
ENSG00000248916.1	NUP210P3	unprocessed_pseudogene	-	0.87651	chr3	129323889
ENSG00000172771.11	EFCAB12	protein_coding	-	0.95675	chr3	129428651
ENSG00000129071.9	MBD4	protein_coding	-	0.9857	chr3	129440035
ENSG00000163913.11	IFT122	protein_coding	+	0.92347	chr3	129440180
ENSG00000163914.4	RHO	protein_coding	+	1.0	chr3	129528640
ENSG00000004399.12	PLXND1	protein_coding	-	1.0	chr3	129606818
ENSG00000203644.3	RP11-332M2.1	sense_intronic	-	1.0	chr3	129847957
ENSG00000172765.16	TMCC1	protein_coding	-	0.99939	chr3	129893576
ENSG00000170893.3	TRH	protein_coding	+	1.0	chr3	129974305
